Groupwise Bifurcation of Institutions for Approval Process 2025-26,,,,,,,
Sr.No,"AICTE
Permanent Id",Institute Name,Region,State,District,City,User Group
1,1-3799438,ANJANEYA UNIVERSITY,Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
2,1-5926100,"ASHOKA INSTITUTE OF TECHNOLOGY &
MANAGEMENT",Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Group-1
3,1-7401859161,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,Central,Chhattisgarh,BILASPUR,BILASPUR,Group-1
4,1-11326374381,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,Central,Chhattisgarh,BILASPUR,BILASPUR,Group-1
5,1-2192708761,AYUSH COLLEGE OF POLYTECHNIC,Central,Chhattisgarh,BILASPUR,BILASPUR,Group-1
6,1-449943711,B.R.P. GOVT. POLYTECHNIC DHAMTARI,Central,Chhattisgarh,DHAMTARI,DHAMTARI,Group-1
7,1-5213608,BHILAI INSTITUTE OF TECHNOLOGY,Central,Chhattisgarh,DURG,DURG,Group-1
8,1-2896931,"BHILAI INSTITUTE OF TECHNOLOGY,RAIPUR.",Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
9,1-2520269301,BILASPUR COLLEGE OF POLYTECHNIC,Central,Chhattisgarh,BILASPUR,BILASPUR,Group-1
10,1-44420000334,C M DUBEY POST GRADUATE COLLEGE,Central,Chhattisgarh,BILASPUR,BILASPUR,Group-1
11,1-3396864021,"CENTRAL INSTITUTE OF PETROCHEMICALS
ENGINEERING & TECHNOLOGY (CIPET)",Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
12,1-2858001251,"CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET), RAIPUR",Central,Chhattisgarh,RAIPUR,RAIPUR,Group-1
13,1-4362910191,"CENTRAL INSTITUTE OF PETROCHEMICALS
ENGINEERING AND TECHNOLOGY (CIPET)",Central,Chhattisgarh,KORBA,KORBA,Group-1
14,1-6267841,"CHHATRAPATI SHIVAJI INSTITUTE OF
TECHNOLOGY",Central,Chhattisgarh,DURG,DURG,Group-1
15,1-8153121,CHHATTISGARH ENGINEERING COLLEGE,Central,Chhattisgarh,DURG,DURG,Group-1
16,1-37834731,CHHATTISGARH INSTITUTE OF TECHNOLOGY,Central,Chhattisgarh,RAJNANDGAON,RAJNANDGAON,Group-1
